game_id	team_id	date	time	opponent	field
G49	White	2026-07-31	12:00 AM	Orange	TBD
G50	Pink	2026-07-31	12:00 AM	Yellow	TBD
G50	Yellow	2026-07-31	12:00 AM	Pink	TBD
G51	Green	2026-07-31	12:00 AM	Powder	TBD
G51	Powder	2026-07-31	12:00 AM	Green	TBD
G52	Black	2026-07-31	12:00 AM	Red	TBD
G52	Red	2026-07-31	12:00 AM	Black	TBD
G53	Royal	2026-07-31	12:00 AM	Purple	TBD
G53	Purple	2026-07-31	12:00 AM	Royal	TBD
G54	Gray	2026-07-31	12:00 AM	Beige	TBD
G54	Beige	2026-07-31	12:00 AM	Gray	TBD
G55	Yellow	2026-08-07	12:00 AM	Red	TBD
G55	Red	2026-08-07	12:00 AM	Yellow	TBD
G56	Powder	2026-08-07	12:00 AM	Purple	TBD
G56	Purple	2026-08-07	12:00 AM	Powder	TBD
G57	Royal	2026-08-07	12:00 AM	Black	TBD
G57	Black	2026-08-07	12:00 AM	Royal	TBD
G58	Pink	2026-08-07	12:00 AM	Beige	TBD
G58	Beige	2026-08-07	12:00 AM	Pink	TBD
G59	Orange	2026-08-07	12:00 AM	Gray	TBD
G59	Gray	2026-08-07	12:00 AM	Orange	TBD
G60	Green	2026-08-07	12:00 AM	White	TBD
G60	White	2026-08-07	12:00 AM	Green	TBD
G61	Beige	2026-08-14	12:00 AM	White	TBD
G61	White	2026-08-14	12:00 AM	Beige	TBD
G62	Red	2026-08-14	12:00 AM	Powder	TBD
G62	Powder	2026-08-14	12:00 AM	Red	TBD
G63	Black	2026-08-14	12:00 AM	Yellow	TBD
G63	Yellow	2026-08-14	12:00 AM	Black	TBD
G64	Royal	2026-08-14	12:00 AM	Green	TBD
G64	Green	2026-08-14	12:00 AM	Royal	TBD
G65	Pink	2026-08-14	12:00 AM	Orange	TBD
G65	Orange	2026-08-14	12:00 AM	Pink	TBD
G66	Gray	2026-08-14	12:00 AM	Purple	TBD
G66	Purple	2026-08-14	12:00 AM	Gray	TBD
G67	White	2026-08-21	12:00 AM	Purple	TBD
G67	Purple	2026-08-21	12:00 AM	White	TBD
G68	Green	2026-08-21	12:00 AM	Gray	TBD
G68	Gray	2026-08-21	12:00 AM	Green	TBD
G69	Orange	2026-08-21	12:00 AM	Royal	TBD
G69	Royal	2026-08-21	12:00 AM	Orange	TBD
G70	Black	2026-08-21	12:00 AM	Red	TBD
G70	Red	2026-08-21	12:00 AM	Black	TBD
G71	Yellow	2026-08-21	12:00 AM	Pink	TBD
G71	Pink	2026-08-21	12:00 AM	Yellow	TBD
G72	Beige	2026-08-21	12:00 AM	Powder	TBD
G72	Powder	2026-08-21	12:00 AM	Beige	TBD
G73	Black	2026-08-28	12:00 AM	Gray	TBD
G73	Gray	2026-08-28	12:00 AM	Black	TBD
G74	Orange	2026-08-28	12:00 AM	Red	TBD
G74	Red	2026-08-28	12:00 AM	Orange	TBD
G75	Royal	2026-08-28	12:00 AM	Pink	TBD
G75	Pink	2026-08-28	12:00 AM	Royal	TBD
G76	White	2026-08-28	12:00 AM	Green	TBD
G76	Green	2026-08-28	12:00 AM	White	TBD
G77	Powder	2026-08-28	12:00 AM	Yellow	TBD
G77	Yellow	2026-08-28	12:00 AM	Powder	TBD
G78	Beige	2026-08-28	12:00 AM	Purple	TBD
G78	Purple	2026-08-28	12:00 AM	Beige	TBD
